1+2,3
10*5,50
15-7,8
24/3,8
50-20,30
12+34,46
87*6,522
100-45,55
243/9,27
80-19,61
33*7,231
56/8,7
123-56,67
234+567,801
87*9,783
678/6,113
245-89,156
50*8,400
932/4,233
89-32,57
123+321,444
76*8,608
345/5,69
567-234,333
100+200,300
45*9,405
567/7,81
234-89,145
567+123,690
65*7,455
987/9,109
654-123,531
1000-777,223
123+456,579
987*3,2961
345/3,115
654-234,420
100*5,500
987+654,1641
432*2,864
567/9,63
789-234,555
456+123,579
876*4,3504
345/5,69
123-45,78
456+789,1245
567*2,1134
789/3,263
432-123,309
100+300,400
567*3,1701
789/7,113
123-56,67
345+678,1023
987*5,4935
876/6,146
456-123,333
1000-456,544
567+321,888
987*4,3948
654/6,109
234-56,178
876+123,999
456*2,912
123/3,41
567-234,333
987+234,1221
876*3,2628
456/4,114
123-45,78
1000-123,877
567+789,1356
876*2,1752
345/5,69
654-234,420
456+321,777
123*4,492
567/7,81
